"","type","year","educ","age","from_to","probability","count_from_to","count_from"
"1","empirical","2018","low",65,"partnered_dead",0.00696454429094609,77,11056
"2","empirical","2018","low",65,"partnered_partnered",0.973769898734099,10766,11056
"3","empirical","2018","low",65,"partnered_unpartnered",0.00678364699118126,75,11056
"4","empirical","2018","low",65,"partnered_widowed",0.0124819099837735,138,11056
"5","empirical","2018","low",65,"unpartnered_dead",0.0171330664728726,90,5253
"6","empirical","2018","low",65,"unpartnered_partnered",0.00761469661016563,40,5253
"7","empirical","2018","low",65,"unpartnered_unpartnered",0.975252236916962,5123,5253
"8","empirical","2018","low",65,"widowed_dead",0.0110787167451895,19,1715
"9","empirical","2018","low",65,"widowed_partnered",0.0104956257586006,18,1715
"10","empirical","2018","low",65,"widowed_widowed",0.97842565749621,1678,1715
"11","empirical","2018","low",66,"partnered_dead",0.00671085986040593,82,12219
"12","empirical","2018","low",66,"partnered_partnered",0.971519764268033,11871,12219
"13","empirical","2018","low",66,"partnered_unpartnered",0.00638350096233734,78,12219
"14","empirical","2018","low",66,"partnered_widowed",0.0153858749092233,188,12219
"15","empirical","2018","low",66,"unpartnered_dead",0.0130293162710098,72,5526
"16","empirical","2018","low",66,"unpartnered_partnered",0.00687658334303293,38,5526
"17","empirical","2018","low",66,"unpartnered_unpartnered",0.980094100385957,5416,5526
"18","empirical","2018","low",66,"widowed_dead",0.0114997608355534,24,2087
"19","empirical","2018","low",66,"widowed_partnered",0.00958313316296119,20,2087
"20","empirical","2018","low",66,"widowed_widowed",0.978917106001485,2043,2087
"21","empirical","2018","low",67,"partnered_dead",0.00982183687071723,129,13134
"22","empirical","2018","low",67,"partnered_partnered",0.966270746957149,12691,13134
"23","empirical","2018","low",67,"partnered_unpartnered",0.0051012640367291,67,13134
"24","empirical","2018","low",67,"partnered_widowed",0.0188061521354043,247,13134
"25","empirical","2018","low",67,"unpartnered_dead",0.0160880606573243,95,5905
"26","empirical","2018","low",67,"unpartnered_partnered",0.0067739201557155,40,5905
"27","empirical","2018","low",67,"unpartnered_unpartnered",0.97713801918696,5770,5905
"28","empirical","2018","low",67,"widowed_dead",0.01217192913876,32,2629
"29","empirical","2018","low",67,"widowed_partnered",0.00684670967805249,18,2629
"30","empirical","2018","low",67,"widowed_widowed",0.980981361183188,2579,2629
"31","empirical","2018","low",68,"partnered_dead",0.00908523532810182,131,14419
"32","empirical","2018","low",68,"partnered_partnered",0.966571883628664,13937,14419
"33","empirical","2018","low",68,"partnered_unpartnered",0.00596435278409737,86,14419
"34","empirical","2018","low",68,"partnered_widowed",0.0183785282591372,265,14419
"35","empirical","2018","low",68,"unpartnered_dead",0.0176072939735891,112,6361
"36","empirical","2018","low",68,"unpartnered_partnered",0.00723156748915265,46,6361
"37","empirical","2018","low",68,"unpartnered_unpartnered",0.975161138537258,6203,6361
"38","empirical","2018","low",68,"widowed_dead",0.0140415137360195,46,3276
"39","empirical","2018","low",68,"widowed_partnered",0.00457875471391941,15,3276
"40","empirical","2018","low",68,"widowed_widowed",0.981379731550061,3215,3276
"41","empirical","2018","low",69,"partnered_dead",0.00846208058406949,132,15599
"42","empirical","2018","low",69,"partnered_partnered",0.965959356766357,15068,15599
"43","empirical","2018","low",69,"partnered_unpartnered",0.00429514694115649,67,15599
"44","empirical","2018","low",69,"partnered_widowed",0.0212834157084172,332,15599
"45","empirical","2018","low",69,"unpartnered_dead",0.0167664659094611,112,6680
"46","empirical","2018","low",69,"unpartnered_partnered",0.00733532936038922,49,6680
"47","empirical","2018","low",69,"unpartnered_unpartnered",0.97589820473015,6519,6680
"48","empirical","2018","low",69,"widowed_dead",0.0174506832582701,69,3954
"49","empirical","2018","low",69,"widowed_partnered",0.00455235226737481,18,3954
"50","empirical","2018","low",69,"widowed_widowed",0.977996964474355,3867,3954
"51","empirical","2018","low",70,"partnered_dead",0.00957831353716867,159,16600
"52","empirical","2018","low",70,"partnered_partnered",0.962710843633916,15981,16600
"53","empirical","2018","low",70,"partnered_unpartnered",0.00469879522012048,78,16600
"54","empirical","2018","low",70,"partnered_widowed",0.0230120476087952,382,16600
"55","empirical","2018","low",70,"unpartnered_dead",0.0218587146458888,151,6908
"56","empirical","2018","low",70,"unpartnered_partnered",0.00434279112964678,30,6908
"57","empirical","2018","low",70,"unpartnered_unpartnered",0.973798494224464,6727,6908
"58","empirical","2018","low",70,"widowed_dead",0.0168598520944152,80,4745
"59","empirical","2018","low",70,"widowed_partnered",0.00316122241770285,15,4745
"60","empirical","2018","low",70,"widowed_widowed",0.979978925487882,4650,4745
"61","empirical","2018","low",71,"partnered_dead",0.010982452183407,184,16754
"62","empirical","2018","low",71,"partnered_partnered",0.958577056008237,16060,16754
"63","empirical","2018","low",71,"partnered_unpartnered",0.00358123435980661,60,16754
"64","empirical","2018","low",71,"partnered_widowed",0.0268592574485496,450,16754
"65","empirical","2018","low",71,"unpartnered_dead",0.021072517949426,145,6881
"66","empirical","2018","low",71,"unpartnered_partnered",0.00290655439302427,20,6881
"67","empirical","2018","low",71,"unpartnered_unpartnered",0.97602092765755,6716,6881
"68","empirical","2018","low",71,"widowed_dead",0.0176331569171242,97,5501
"69","empirical","2018","low",71,"widowed_partnered",0.00381748768205781,21,5501
"70","empirical","2018","low",71,"widowed_widowed",0.978549355400818,5383,5501
"71","empirical","2018","low",72,"partnered_dead",0.0124069478027295,195,15717
"72","empirical","2018","low",72,"partnered_partnered",0.957180124780836,15044,15717
"73","empirical","2018","low",72,"partnered_unpartnered",0.0033721448463829,53,15717
"74","empirical","2018","low",72,"partnered_widowed",0.0270407825700516,425,15717
"75","empirical","2018","low",72,"unpartnered_dead",0.023469858657156,153,6519
"76","empirical","2018","low",72,"unpartnered_partnered",0.00383494410737843,25,6519
"77","empirical","2018","low",72,"unpartnered_unpartnered",0.972695197235466,6341,6519
"78","empirical","2018","low",72,"widowed_dead",0.0157867925200815,93,5891
"79","empirical","2018","low",72,"widowed_partnered",0.00271600731743338,16,5891
"80","empirical","2018","low",72,"widowed_widowed",0.981497200162485,5782,5891
"81","empirical","2018","low",73,"partnered_dead",0.0139209405879402,187,13433
"82","empirical","2018","low",73,"partnered_partnered",0.952430581808055,12794,13433
"83","empirical","2018","low",73,"partnered_unpartnered",0.00357328949423063,48,13433
"84","empirical","2018","low",73,"partnered_widowed",0.0300751881097744,404,13433
"85","empirical","2018","low",73,"unpartnered_dead",0.0229663400160764,131,5704
"86","empirical","2018","low",73,"unpartnered_partnered",0.00438288930306802,25,5704
"87","empirical","2018","low",73,"unpartnered_unpartnered",0.972650770680856,5548,5704
"88","empirical","2018","low",73,"widowed_dead",0.0158924202892421,91,5726
"89","empirical","2018","low",73,"widowed_partnered",0.00192106183496333,11,5726
"90","empirical","2018","low",73,"widowed_widowed",0.982186517875795,5624,5726
"91","empirical","2018","low",74,"partnered_dead",0.0146645072522295,172,11729
"92","empirical","2018","low",74,"partnered_partnered",0.947821636302532,11117,11729
"93","empirical","2018","low",74,"partnered_unpartnered",0.00323983285572513,38,11729
"94","empirical","2018","low",74,"partnered_widowed",0.0342740235895132,402,11729
"95","empirical","2018","low",74,"unpartnered_dead",0.0250099253526399,126,5038
"96","empirical","2018","low",74,"unpartnered_partnered",0.00416832095877333,21,5038
"97","empirical","2018","low",74,"unpartnered_unpartnered",0.970821753688587,4891,5038
"98","empirical","2018","low",74,"widowed_dead",0.0185119270814525,104,5618
"99","empirical","2018","low",74,"widowed_partnered",0.00284798861253115,16,5618
"100","empirical","2018","low",74,"widowed_widowed",0.978640084306016,5498,5618
"101","empirical","2018","low",75,"partnered_dead",0.0156402739953079,160,10230
"102","empirical","2018","low",75,"partnered_partnered",0.938416419718475,9600,10230
"103","empirical","2018","low",75,"partnered_unpartnered",0.00469208229859237,48,10230
"104","empirical","2018","low",75,"partnered_widowed",0.0412512239876246,422,10230
"105","empirical","2018","low",75,"unpartnered_dead",0.0323602650309635,143,4420
"106","empirical","2018","low",75,"unpartnered_partnered",0.00316813774217118,14,4420
"107","empirical","2018","low",75,"unpartnered_unpartnered",0.964471597226865,4262,4420
"108","empirical","2018","low",75,"widowed_dead",0.024447664330134,135,5522
"109","empirical","2018","low",75,"widowed_partnered",0.00344078230572256,19,5522
"110","empirical","2018","low",75,"widowed_widowed",0.972111553364143,5368,5522
"111","empirical","2018","low",76,"partnered_dead",0.0191636070747381,214,11167
"112","empirical","2018","low",76,"partnered_partnered",0.934987013646449,10441,11167
"113","empirical","2018","low",76,"partnered_unpartnered",0.00447747811746217,50,11167
"114","empirical","2018","low",76,"partnered_widowed",0.0413719011613504,462,11167
"115","empirical","2018","low",76,"unpartnered_dead",0.0292072307020862,147,5033
"116","empirical","2018","low",76,"unpartnered_partnered",0.00456983915338764,23,5033
"117","empirical","2018","low",76,"unpartnered_unpartnered",0.966222930144526,4863,5033
"118","empirical","2018","low",76,"widowed_dead",0.0271493211567421,192,7072
"119","empirical","2018","low",76,"widowed_partnered",0.000989819029256221,7,7072
"120","empirical","2018","low",76,"widowed_widowed",0.971860859814002,6873,7072
"121","empirical","2018","low",77,"partnered_dead",0.0201598573023979,227,11260
"122","empirical","2018","low",77,"partnered_partnered",0.928241563923623,10452,11260
"123","empirical","2018","low",77,"partnered_unpartnered",0.00346358805195382,39,11260
"124","empirical","2018","low",77,"partnered_widowed",0.0481349907220249,542,11260
"125","empirical","2018","low",77,"unpartnered_dead",0.0369657312976511,192,5194
"126","empirical","2018","low",77,"unpartnered_partnered",0.00385059692683866,20,5194
"127","empirical","2018","low",77,"unpartnered_unpartnered",0.95918367177551,4982,5194
"128","empirical","2018","low",77,"widowed_dead",0.0282139353984504,230,8153
"129","empirical","2018","low",77,"widowed_partnered",0.00208537784249523,17,8153
"130","empirical","2018","low",77,"widowed_widowed",0.969700686759054,7905,8153
"131","empirical","2018","low",78,"partnered_dead",0.0238095243714286,244,10248
"132","empirical","2018","low",78,"partnered_partnered",0.915495704281733,9382,10248
"133","empirical","2018","low",78,"partnered_unpartnered",0.00409836046393442,42,10248
"134","empirical","2018","low",78,"partnered_widowed",0.056596410882904,580,10248
"135","empirical","2018","low",78,"unpartnered_dead",0.0378435507956448,179,4730
"136","empirical","2018","low",78,"unpartnered_partnered",0.00274841438515856,13,4730
"137","empirical","2018","low",78,"unpartnered_unpartnered",0.959408034819197,4538,4730
"138","empirical","2018","low",78,"widowed_dead",0.0307951408376278,256,8313
"139","empirical","2018","low",78,"widowed_partnered",0.00180440284907976,15,8313
"140","empirical","2018","low",78,"widowed_widowed",0.967400456313292,8042,8313
"141","empirical","2018","low",79,"partnered_dead",0.0272621810218097,282,10344
"142","empirical","2018","low",79,"partnered_partnered",0.913476410730781,9449,10344
"143","empirical","2018","low",79,"partnered_unpartnered",0.00396365020317092,41,10344
"144","empirical","2018","low",79,"partnered_widowed",0.0552977580442382,572,10344
"145","empirical","2018","low",79,"unpartnered_dead",0.0442616524201724,226,5106
"146","empirical","2018","low",79,"unpartnered_partnered",0.00195848007434391,10,5106
"147","empirical","2018","low",79,"unpartnered_unpartnered",0.953779867505484,4870,5106
"148","empirical","2018","low",79,"widowed_dead",0.0351182564703103,343,9768
"149","empirical","2018","low",79,"widowed_partnered",0.00235486829565487,23,9768
"150","empirical","2018","low",79,"widowed_widowed",0.962526875234035,9401,9768
"151","empirical","2018","low",80,"partnered_dead",0.0292582125207962,269,9194
"152","empirical","2018","low",80,"partnered_partnered",0.901675006049815,8290,9194
"153","empirical","2018","low",80,"partnered_unpartnered",0.00467696328324995,43,9194
"154","empirical","2018","low",80,"partnered_widowed",0.0643898181461388,592,9194
"155","empirical","2018","low",80,"unpartnered_dead",0.05414076655384,270,4987
"156","empirical","2018","low",80,"unpartnered_partnered",0.00240625636905956,12,4987
"157","empirical","2018","low",80,"unpartnered_unpartnered",0.9434529770771,4705,4987
"158","empirical","2018","low",80,"widowed_dead",0.0366307523846034,374,10210
"159","empirical","2018","low",80,"widowed_partnered",0.00195886376709109,20,10210
"160","empirical","2018","low",80,"widowed_widowed",0.961410383848305,9816,10210
"161","empirical","2018","low",81,"partnered_dead",0.0363862912322493,292,8025
"162","empirical","2018","low",81,"partnered_partnered",0.883738321353121,7092,8025
"163","empirical","2018","low",81,"partnered_unpartnered",0.00423676001060436,34,8025
"164","empirical","2018","low",81,"partnered_widowed",0.075638627404025,607,8025
"165","empirical","2018","low",81,"unpartnered_dead",0.0503816793022901,231,4585
"166","empirical","2018","low",81,"unpartnered_partnered",0.00218102501308615,10,4585
"167","empirical","2018","low",81,"unpartnered_unpartnered",0.947437295684624,4344,4585
"168","empirical","2018","low",81,"widowed_dead",0.0442199569463071,464,10493
"169","empirical","2018","low",81,"widowed_partnered",0.0019060326407891,20,10493
"170","empirical","2018","low",81,"widowed_widowed",0.953874010412904,10009,10493
"171","empirical","2018","low",82,"partnered_dead",0.0380442438211921,270,7097
"172","empirical","2018","low",82,"partnered_partnered",0.882062845854305,6260,7097
"173","empirical","2018","low",82,"partnered_unpartnered",0.0040862336807947,29,7097
"174","empirical","2018","low",82,"partnered_widowed",0.0758066766437086,538,7097
"175","empirical","2018","low",82,"unpartnered_dead",0.0596224676081492,259,4344
"176","empirical","2018","low",82,"unpartnered_partnered",0.00115101281174033,5,4344
"177","empirical","2018","low",82,"unpartnered_unpartnered",0.93922651958011,4080,4344
"178","empirical","2018","low",82,"widowed_dead",0.0513511078305413,572,11139
"179","empirical","2018","low",82,"widowed_partnered",0.00125684529585241,14,11139
"180","empirical","2018","low",82,"widowed_widowed",0.947392046873606,10553,11139
"181","empirical","2018","low",83,"partnered_dead",0.0457234204618065,286,6255
"182","empirical","2018","low",83,"partnered_partnered",0.861550758701663,5389,6255
"183","empirical","2018","low",83,"partnered_unpartnered",0.00591526795974421,37,6255
"184","empirical","2018","low",83,"partnered_widowed",0.0868105528767866,543,6255
"185","empirical","2018","low",83,"unpartnered_dead",0.0651174047162915,269,4131
"186","empirical","2018","low",83,"unpartnered_partnered",0.00169450501863956,7,4131
"187","empirical","2018","low",83,"unpartnered_unpartnered",0.933188090265069,3855,4131
"188","empirical","2018","low",83,"widowed_dead",0.0557307199864337,654,11735
"189","empirical","2018","low",83,"widowed_partnered",0.00170430333016617,20,11735
"190","empirical","2018","low",83,"widowed_widowed",0.9425649766834,11061,11735
"191","empirical","2018","low",84,"partnered_dead",0.0551910476457353,286,5182
"192","empirical","2018","low",84,"partnered_partnered",0.846584329905037,4387,5182
"193","empirical","2018","low",84,"partnered_unpartnered",0.00521034336096102,27,5182
"194","empirical","2018","low",84,"partnered_widowed",0.0930142790882671,482,5182
"195","empirical","2018","low",84,"unpartnered_dead",0.0747033454278587,277,3708
"196","empirical","2018","low",84,"unpartnered_partnered",0.0024271845788835,9,3708
"197","empirical","2018","low",84,"unpartnered_unpartnered",0.922869469993258,3422,3708
"198","empirical","2018","low",84,"widowed_dead",0.0640117464612949,741,11579
"199","empirical","2018","low",84,"widowed_partnered",0.00250518323280803,29,11579
"200","empirical","2018","low",84,"widowed_widowed",0.933483070305897,10806,11579
"201","empirical","2018","low",85,"partnered_dead",0.0606129396970488,267,4405
"202","empirical","2018","low",85,"partnered_partnered",0.835414299607264,3680,4405
"203","empirical","2018","low",85,"partnered_unpartnered",0.00590238356787741,26,4405
"204","empirical","2018","low",85,"partnered_widowed",0.0980703771278093,432,4405
"205","empirical","2018","low",85,"unpartnered_dead",0.0806030689285011,278,3449
"206","empirical","2018","low",85,"unpartnered_partnered",0.00173963465529139,6,3449
"207","empirical","2018","low",85,"unpartnered_unpartnered",0.917657296416208,3165,3449
"208","empirical","2018","low",85,"widowed_dead",0.0797821752817702,923,11569
"209","empirical","2018","low",85,"widowed_partnered",0.00129656843708186,15,11569
"210","empirical","2018","low",85,"widowed_widowed",0.918921256281148,10631,11569
"211","empirical","2018","low",86,"partnered_dead",0.0766182306208718,290,3785
"212","empirical","2018","low",86,"partnered_partnered",0.804755615514399,3046,3785
"213","empirical","2018","low",86,"partnered_unpartnered",0.00528401590488771,20,3785
"214","empirical","2018","low",86,"partnered_widowed",0.113342137959842,429,3785
"215","empirical","2018","low",86,"unpartnered_dead",0.0976958511430415,318,3255
"216","empirical","2018","low",86,"unpartnered_partnered",0.00153609831797235,5,3255
"217","empirical","2018","low",86,"unpartnered_unpartnered",0.900768050538986,2932,3255
"218","empirical","2018","low",86,"widowed_dead",0.0859414189364555,1027,11951
"219","empirical","2018","low",86,"widowed_partnered",0.00133891211459253,16,11951
"220","empirical","2018","low",86,"widowed_widowed",0.912719668948952,10907,11951
"221","empirical","2018","low",87,"partnered_dead",0.0878444085871313,271,3085
"222","empirical","2018","low",87,"partnered_partnered",0.789951376287229,2437,3085
"223","empirical","2018","low",87,"partnered_unpartnered",0.00875202565886548,27,3085
"224","empirical","2018","low",87,"partnered_widowed",0.113452189466775,350,3085
"225","empirical","2018","low",87,"unpartnered_dead",0.118069142703783,362,3066
"226","empirical","2018","low",87,"unpartnered_partnered",0.00195694714481409,6,3066
"227","empirical","2018","low",87,"unpartnered_unpartnered",0.879973910151403,2698,3066
"228","empirical","2018","low",87,"widowed_dead",0.09851894593593,1204,12221
"229","empirical","2018","low",87,"widowed_partnered",0.00122739551166026,15,12221
"230","empirical","2018","low",87,"widowed_widowed",0.90025365855241,11002,12221
"231","empirical","2018","low",88,"partnered_dead",0.0943089443769106,232,2460
"232","empirical","2018","low",88,"partnered_partnered",0.763414631145854,1878,2460
"233","empirical","2018","low",88,"partnered_unpartnered",0.00325203244747967,8,2460
"234","empirical","2018","low",88,"partnered_widowed",0.139024392029756,342,2460
"235","empirical","2018","low",88,"unpartnered_dead",0.11374911738377,321,2822
"236","empirical","2018","low",88,"unpartnered_partnered",0.00177179295924876,5,2822
"237","empirical","2018","low",88,"unpartnered_unpartnered",0.884479089656981,2496,2822
"238","empirical","2018","low",88,"widowed_dead",0.10728488092265,1268,11819
"239","empirical","2018","low",88,"widowed_partnered",0.00152297141309755,18,11819
"240","empirical","2018","low",88,"widowed_widowed",0.891192147664252,10533,11819
"241","empirical","2018","low",89,"partnered_dead",0.112866821218962,200,1772
"242","empirical","2018","low",89,"partnered_partnered",0.746613988063431,1323,1772
"243","empirical","2018","low",89,"partnered_unpartnered",0.0067720092731377,12,1772
"244","empirical","2018","low",89,"partnered_widowed",0.13374718144447,237,1772
"245","empirical","2018","low",89,"unpartnered_dead",0.137510170096257,338,2458
"246","empirical","2018","low",89,"unpartnered_partnered",0.00162733930113914,NA,2458
"247","empirical","2018","low",89,"unpartnered_unpartnered",0.860862490602604,2116,2458
"248","empirical","2018","low",89,"widowed_dead",0.132127200572897,1446,10945
"249","empirical","2018","low",89,"widowed_partnered",0.00191885959876185,21,10945
"250","empirical","2018","low",89,"widowed_widowed",0.865953939828341,9477,10945
"251","empirical","2018","low",90,"partnered_dead",0.135332255452836,167,1234
"252","empirical","2018","low",90,"partnered_partnered",0.70340356636564,868,1234
"253","empirical","2018","low",90,"partnered_unpartnered",0.0097244732732577,12,1234
"254","empirical","2018","low",90,"partnered_widowed",0.151539704908266,187,1234
"255","empirical","2018","low",90,"unpartnered_dead",0.152023689923988,308,2026
"256","empirical","2018","low",90,"unpartnered_partnered",0.00296150049851925,6,2026
"257","empirical","2018","low",90,"unpartnered_unpartnered",0.845014809577493,1712,2026
"258","empirical","2018","low",90,"widowed_dead",0.147513226754709,1394,9450
"259","empirical","2018","low",90,"widowed_partnered",0.0020105819557672,19,9450
"260","empirical","2018","low",90,"widowed_widowed",0.850476191289524,8037,9450
"261","empirical","2018","low",91,"partnered_dead",0.16190477001619,136,840
"262","empirical","2018","low",91,"partnered_partnered",0.690476180069048,580,840
"263","empirical","2018","low",91,"partnered_unpartnered",0.00952380990095238,8,840
"264","empirical","2018","low",91,"partnered_widowed",0.13809524001381,116,840
"265","empirical","2018","low",91,"unpartnered_dead",0.180505407545126,300,1662
"266","empirical","2018","low",91,"unpartnered_partnered",0.00300842355908544,5,1662
"267","empirical","2018","low",91,"unpartnered_unpartnered",0.816486168895788,1357,1662
"268","empirical","2018","low",91,"widowed_dead",0.165504352797024,1329,8030
"269","empirical","2018","low",91,"widowed_partnered",0.00136986312315069,11,8030
"270","empirical","2018","low",91,"widowed_widowed",0.833125784079826,6690,8030
"271","empirical","2018","low",92,"partnered_dead",0.180656936386861,99,548
"272","empirical","2018","low",92,"partnered_partnered",0.656934306861314,360,548
"273","empirical","2018","low",92,"partnered_unpartnered",0.0145985397080292,8,548
"274","empirical","2018","low",92,"partnered_widowed",0.147810217043796,81,548
"275","empirical","2018","low",92,"unpartnered_dead",0.188066473573263,249,1324
"276","empirical","2018","low",92,"unpartnered_partnered",0.00226586104305136,NA,1324
"277","empirical","2018","low",92,"unpartnered_unpartnered",0.809667665383686,1072,1324
"278","empirical","2018","low",92,"widowed_dead",0.187401116364418,1303,6953
"279","empirical","2018","low",92,"widowed_partnered",0.00201351936093772,14,6953
"280","empirical","2018","low",92,"widowed_widowed",0.810585364274644,5636,6953
"281","empirical","2018","low",93,"partnered_dead",0.213296400426593,77,361
"282","empirical","2018","low",93,"partnered_partnered",0.628808861257618,227,361
"283","empirical","2018","low",93,"partnered_unpartnered",0.016620498033241,6,361
"284","empirical","2018","low",93,"partnered_widowed",0.141274240282548,51,361
"285","empirical","2018","low",93,"unpartnered_dead",0.186729855406446,197,1055
"286","empirical","2018","low",93,"unpartnered_partnered",0.00189573455336493,NA,1055
"287","empirical","2018","low",93,"unpartnered_unpartnered",0.81137441004019,856,1055
"288","empirical","2018","low",93,"widowed_dead",0.206209208020392,1169,5669
"289","empirical","2018","low",93,"widowed_partnered",0.0017639795830658,10,5669
"290","empirical","2018","low",93,"widowed_widowed",0.792026812396542,4490,5669
"291","empirical","2018","low",94,"partnered_dead",0.198275860396552,46,232
"292","empirical","2018","low",94,"partnered_partnered",0.573275861146552,133,232
"293","empirical","2018","low",94,"partnered_unpartnered",0.0344827580689655,8,232
