ika,from,educ,n
21,parmar,high,124
22,parmar,high,275
23,parmar,high,703
24,parmar,high,1478
25,parmar,high,2627
26,parmar,high,3779
27,parmar,high,4907
28,parmar,high,5963
29,parmar,high,6739
30,parmar,high,7361
31,parmar,high,8114
32,parmar,high,8702
33,parmar,high,9036
34,parmar,high,9227
35,parmar,high,9221
36,parmar,high,9577
37,parmar,high,9061
38,parmar,high,9425
39,parmar,high,9970
40,parmar,high,10360
41,parmar,high,10584
42,parmar,high,10509
43,parmar,high,9549
44,parmar,high,7617
45,parmar,high,7349
46,parmar,high,5788
47,parmar,high,7720
48,parmar,high,5047
49,parmar,high,5575
50,parmar,high,5087
51,parmar,high,4653
52,parmar,high,4428
53,parmar,high,4162
54,parmar,high,3770
55,parmar,high,3490
56,parmar,high,3412
57,parmar,high,3346
58,parmar,high,3154
59,parmar,high,3015
60,parmar,high,2929
61,parmar,high,2549
62,parmar,high,2491
63,parmar,high,2407
64,parmar,high,2212
65,parmar,high,1956
66,parmar,high,1779
67,parmar,high,1726
68,parmar,high,1690
69,parmar,high,1353
70,parmar,high,1446
71,parmar,high,1255
72,parmar,high,1071
73,parmar,high,1026
74,parmar,high,960
75,parmar,high,901
76,parmar,high,911
77,parmar,high,781
78,parmar,high,681
79,parmar,high,564
80,parmar,high,505
81,parmar,high,415
82,parmar,high,298
83,parmar,high,258
84,parmar,high,189
85,parmar,high,156
86,parmar,high,103
87,parmar,high,70
88,parmar,high,55
89,parmar,high,40
90,parmar,high,18
91,parmar,high,20
92,parmar,high,8
93,parmar,high,8
94,parmar,high,0
96,parmar,high,0
97,parmar,high,0
100,parmar,high,0
101,parmar,high,0
21,parmar,mid,3432
22,parmar,mid,5460
23,parmar,mid,7564
24,parmar,mid,9837
25,parmar,mid,11218
26,parmar,mid,12220
27,parmar,mid,12949
28,parmar,mid,13023
29,parmar,mid,12773
30,parmar,mid,12287
31,parmar,mid,12988
32,parmar,mid,13710
33,parmar,mid,13530
34,parmar,mid,13309
35,parmar,mid,13330
36,parmar,mid,13850
37,parmar,mid,12973
38,parmar,mid,13013
39,parmar,mid,12910
40,parmar,mid,12609
41,parmar,mid,12129
42,parmar,mid,11409
43,parmar,mid,9600
44,parmar,mid,7510
45,parmar,mid,6960
46,parmar,mid,5292
47,parmar,mid,7606
48,parmar,mid,5106
49,parmar,mid,5580
50,parmar,mid,5207
51,parmar,mid,4591
52,parmar,mid,4171
53,parmar,mid,4038
54,parmar,mid,3562
55,parmar,mid,3170
56,parmar,mid,3135
57,parmar,mid,3154
58,parmar,mid,2963
59,parmar,mid,2832
60,parmar,mid,2547
61,parmar,mid,2294
62,parmar,mid,2002
63,parmar,mid,1913
64,parmar,mid,1922
65,parmar,mid,1827
66,parmar,mid,1562
67,parmar,mid,1496
68,parmar,mid,1534
69,parmar,mid,1052
70,parmar,mid,1103
71,parmar,mid,1033
72,parmar,mid,908
73,parmar,mid,910
74,parmar,mid,817
75,parmar,mid,707
76,parmar,mid,655
77,parmar,mid,599
78,parmar,mid,527
79,parmar,mid,414
80,parmar,mid,383
81,parmar,mid,276
82,parmar,mid,217
83,parmar,mid,163
84,parmar,mid,155
85,parmar,mid,105
86,parmar,mid,75
87,parmar,mid,57
88,parmar,mid,40
89,parmar,mid,30
90,parmar,mid,16
91,parmar,mid,10
92,parmar,mid,8
93,parmar,mid,5
94,parmar,mid,0
95,parmar,mid,0
96,parmar,mid,0
101,parmar,mid,0
21,parmar,low,1777
22,parmar,low,2302
23,parmar,low,2785
24,parmar,low,3401
25,parmar,low,3730
26,parmar,low,3894
27,parmar,low,4298
28,parmar,low,4817
29,parmar,low,5657
30,parmar,low,5919
31,parmar,low,6795
32,parmar,low,7085
33,parmar,low,7328
34,parmar,low,7793
35,parmar,low,8393
36,parmar,low,9438
37,parmar,low,10207
38,parmar,low,11430
39,parmar,low,12695
40,parmar,low,13578
41,parmar,low,14087
42,parmar,low,14362
43,parmar,low,13599
44,parmar,low,11088
45,parmar,low,10992
46,parmar,low,9030
47,parmar,low,13841
48,parmar,low,10541
49,parmar,low,12739
50,parmar,low,12905
51,parmar,low,12400
52,parmar,low,12104
53,parmar,low,12729
54,parmar,low,12606
55,parmar,low,12421
56,parmar,low,13199
57,parmar,low,14120
58,parmar,low,14524
59,parmar,low,14188
60,parmar,low,14374
61,parmar,low,13740
62,parmar,low,13899
63,parmar,low,13385
64,parmar,low,12408
65,parmar,low,12151
66,parmar,low,10769
67,parmar,low,10589
68,parmar,low,10241
69,parmar,low,7432
70,parmar,low,8236
71,parmar,low,7737
72,parmar,low,7076
73,parmar,low,6943
74,parmar,low,6860
75,parmar,low,6158
76,parmar,low,5893
77,parmar,low,5311
78,parmar,low,4531
79,parmar,low,4108
80,parmar,low,3350
81,parmar,low,2772
82,parmar,low,2248
83,parmar,low,1711
84,parmar,low,1331
85,parmar,low,1070
86,parmar,low,781
87,parmar,low,566
88,parmar,low,410
89,parmar,low,309
90,parmar,low,184
91,parmar,low,130
92,parmar,low,96
93,parmar,low,43
94,parmar,low,31
95,parmar,low,12
96,parmar,low,8
97,parmar,low,5
98,parmar,low,0
99,parmar,low,0
